"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"312","James Develin","RB","FA","6.2","0","0","0","0","2.3","0","1.7","1","6.1","-","0","14.4","6.2","3.8","0","1.2","2.7","42.9"
"313","DeAndre Carter","WR","CLE","2","0","-","0","0","2.1","0","0","-","-","0","2.4","9.2","1","8.2","12.1","5.3","3","42.3"
"314","Bennie Fowler III","WR","FA","-","-","-","-","-","-","2.1","8.8","-","0","2","4.3","2.1","7.6","6.3","3.6","5.1","4.2","41.9"
"315","Tyrod Taylor","QB","NYJ","23.6","14.4","3","-","-","-","-","-","0.4","-","BYE","-","-","-","-","-","-","10.4","41.4"
"316","Zane Gonzalez","K","FA","3","6","-","-","-","-","-","-","-","-","-","-","10","3","2","3","14","5.9","41"
"316","Chad Williams","WR","FA","0","0","1.8","9.2","4.3","1.5","7.4","4.1","-","-","-","-","-","-","-","1.7","11","4.1","41"
"318","Travis Benjamin","WR","FA","3","-","-","1.2","-","-","2.3","-","-0.2","-0.2","0","7.7","12.5","2.1","8.5","2.7","1.1","3.4","40.7"
"318","Darren Fells","TE","FA","2.2","3.5","0","11.9","1.8","0","0","1.6","0","0","-","7.6","0","0","0","10.8","1.3","2.5","40.7"
"320","Josh Hill","TE","FA","2.5","1.5","2.7","9.3","10.4","-","0","0","3","0","4.6","0","0","0","4.4","2.1","0","2.5","40.5"
"321","Mike Gesicki","TE","CIN","2.1","0","6.1","1.9","5.6","2.1","7.4","5.4","0","1.5","-","-0.5","0","0","4.3","1.5","2.8","2.5","40.2"
"322","Las Vegas Raiders","DST","LV","1","4","0","12","1","3","-","-4","-1","4","5","4","-1","3","2","6","1","2.5","40"
"323","Tavon Austin","WR","FA","0.1","17.4","11","0.7","5.4","2.9","-","-","-","-","-","-","-","-","-","-","2","5.6","39.5"
"323","Jordan Akins","TE","FA","3.1","4.1","2.8","4.4","1.9","1.6","0","0","0","-","6.2","1.8","2.3","6","0","5.3","0","2.5","39.5"
"325","Malcolm Brown","RB","FA","4.3","6.6","4.2","0","0","2.4","8.1","0.7","8.8","2","1.5","-","0.8","-","-","-","-","3.3","39.4"
"326","Justin Hardy","WR","FA","0","0","0","1.4","0","6.3","4.4","-","0","1.7","0","1.6","0","12","11.9","0","0","2.5","39.3"
"327","Tyler Eifert","TE","FA","7.4","4.3","13.4","13.8","-","-","-","-","-","-","-","-","-","-","-","-","-","9.7","38.9"
"328","Raheem Mostert","RB","LV","0","0","1.8","0","-0.1","8.7","11.8","1.8","14.6","-","-","-","-","-","-","-","-","4.3","38.6"
"329","Kalen Ballage","RB","FA","-","-","-","0.3","0.2","-","0","0.5","3.5","1.6","-","1.5","0.3","0","19.1","6.9","3.8","3.1","37.7"
"330","Maxx Williams","TE","FA","6.2","6.8","1.5","10.1","2.8","0","0.1","-","-","-","-","0","0","8","1.6","0","0","2.9","37.1"
"331","Cody Core","WR","FA","-","-","0","0","0","0","6","0","-","3.7","0","1.7","10","6","2","7.6","0","2.6","37"
"332","Alex Erickson","WR","FA","0","0","0","2.6","5.4","2.8","0.9","1.5","-","0","0","0","-0.8","1.4","5.3","5.5","12.3","2.3","36.9"
"333","Marcell Ateman","WR","FA","-","-","-","-","-","-","-","-","-","-","9","4.6","9.6","7.5","4","0","1.7","5.2","36.4"
"334","Matt McCrane","K","FA","-","-","-","14","4","4","-","-","-","-","3","-","-","-","-","-","11","7.2","36"
"335","Will Dissly","TE","LAC","19.5","13.2","1.4","1.5","-","-","-","BYE","-","-","-","-","-","-","-","-","-","8.9","35.6"
"336","Lee Smith","TE","FA","0","0","0","5.3","0","0","-","0","0","0","2.6","5.9","7.1","7.3","7.1","0","0","2.2","35.3"
"336","Hayden Hurst","TE","FA","-","-","-","-","1.7","0","0","10.9","3.1","-","0","5.5","0","0","5","2.8","6.3","2.9","35.3"
"338","Rod Smith","RB","FA","0.5","0","0","3.2","1","0.4","0","-","1.8","3.2","2.8","0.7","0.2","6.3","1.4","-0.7","12.9","2.1","33.7"
"339","Taysom Hill","TE","NO","0","0","3.9","3.8","8.3","BYE","1.5","3.1","1","2.4","0.8","1.3","0","-0.6","1.7","-2","8.4","2.1","33.6"
"340","Blaine Gabbert","QB","FA","2.7","8.9","0.3","-","-","-","-","-","-","-","6.7","-","-0.1","-","-0.1","8","6.6","4.1","33"
"340","Dan Arnold","TE","FA","-","-","-","-","0","-","5.5","0","0","4.5","4.5","14.5","4","-","0","-","0","3.3","33"
"342","Mo Alie-Cox","TE","IND","-","-","-","2.7","-","4.4","1.7","9.6","BYE","10.8","0","-","-","-","0","0","3.1","3.6","32.3"
"343","Marvin Hall","WR","FA","0","4","1.7","1.2","4.5","0","15.3","-","0","2.2","0.3","0","0","-0.3","2","0","0","1.9","30.9"
"344","Chase Daniel","QB","FA","-","-","-","-0.2","-","-","0","-","-0.3","-","-","19.4","11.8","-","-","-","-","6.1","30.7"
"345","DJ Chark Jr.","WR","FA","0","0.3","0","1.6","8.8","0","7.1","8.1","-","0","3.5","-","-","-","-","-","0","2.7","29.4"
"345","Brandon Bolden","RB","FA","0","0","0","0","0","0","0","0","0","0","-","0","1","19","1.2","6.3","1.9","1.8","29.4"
"347","Damion Ratley","WR","FA","-","0","0","-","-","14.2","5.3","3.1","3.6","0","-","0","1.2","0","0","0","0","2.1","27.4"
"348","Colt McCoy","QB","FA","-","-","-","-","-","-","-","-","-","-","9.7","15.5","2","-","-","-","-","9.1","27.2"
"349","Kyle Allen","QB","DET","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","1.5","25","13.3","26.5"
"350","Richie James Jr.","WR","FA","-","0","-","-","1.7","0","0","0","8","0","-","4.7","-2","0","0","1.4","12.2","2","26"
"350","Mike Nugent","K","FA","8","8","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8.7","26"
"352","Andy Janovich","RB","FA","0","2.1","0.2","4.2","0","0","0","0","1.9","-","2.2","0","1.7","0.3","0","2.1","11","1.6","25.7"
"353","MyCole Pruitt","TE","FA","-","0","0","0","0","0","0","-","0","0","2.9","2.3","1.4","1.9","1.2","10.9","4.6","1.7","25.2"
"354","Jake Kumerow","WR","FA","-","-","-","-","-","-","-","-","-","-","-","-","2.1","0","1.5","15.8","4.9","4.9","24.3"
"354","Deontay Burnett","WR","FA","-","-","-","-","-","-","1.9","10.1","0","-","-","-","-","-","-","0","12.3","4.9","24.3"
"354","Brandon Powell","WR","FA","-","-","-","-","-","-","-","0","0","1.6","-","-","-","-","4.5","1.9","16.3","4.1","24.3"
"357","Andre Roberts","WR","FA","0.2","0","0","0","1.4","0","4.1","0","0","0","-","0","3.8","-2","10.6","0","5.8","1.5","23.9"
"358","Anthony Sherman","RB","FA","10.6","0","2.6","0","2.5","0.8","0","2","0","1.2","0","-","0","0.2","0","0","3.9","1.5","23.8"
"359","Dalton Schultz","TE","HOU","0","-","-","-","-","-","2.2","-","0","4.1","0","0.9","1.7","6.7","5.3","0","2.7","2.1","23.6"
"360","Nick O'Leary","TE","FA","-","-","-","-","0","14.9","4.3","0","0","1.5","-","0","1.9","0","0","0","0","1.9","22.6"
"361","Trey Quinn","WR","FA","0","-","-","-","-","-","-","-","-","-","8.9","13.6","-","-","-","-","-","7.5","22.5"
"362","Marcus Johnson","WR","FA","-","0","-0.2","4.4","4.6","13.2","-","-","-","-","-","-","-","-","-","-","-","4.4","22"
"363","Luke Willson","TE","FA","0","2.3","3","1.6","0","-","2.8","5.1","3.7","-","0","1.4","1.8","0","0","0","-","1.6","21.7"
"364","Josh McCown","QB","FA","-","-","-","-","-","-","-","-","-","1.8","-","15.5","3.4","0","-","-","-","5.2","20.8"
"365","Ronald Jones II","RB","FA","-","-","-","3.8","-","4.9","9.8","1.1","-","-","-","-","0.2","0","0.9","0","0","2.3","20.7"
"366","C.J. Ham","RB","MIN","0","0.5","9.7","2.7","1.7","0.1","0","0.1","0","BYE","0","2.3","3.1","0","0","0.1","-","1.4","20.3"
"366","Logan Thomas","TE","FA","3.4","1.7","-","-","0","1","0","0","11","1.7","-","0","-","1.5","-","0","0","1.7","20.3"
"368","Vyncint Smith","WR","FA","0","0","3.8","-","-","-","-","0","0","-","-","-","-","-","-","10.5","5.8","2.9","20.1"
"369","Derek Carrier","TE","FA","4","1.5","0","0","0","0","-","0","1.8","1.5","0","0","0","10.9","0","0","0","1.2","19.7"
"370","Adam Shaheen","TE","FA","-","-","-","-","-","-","-","-","-","-","2","-","8.5","0","5.9","1.4","0","3","17.8"
"371","Robert Tonyan","TE","KC","0","0","0","0","0","0","-","0","0","0","12.4","0","1.5","0","0","2.1","1.7","1.1","17.7"
"372","Dontrell Hilliard","RB","FA","-","-","-","-","-","0","0","3.4","0","-0.4","-","0","8","4","0","2.5","0","1.6","17.5"
"373","Matt Barkley","QB","FA","-","-","-","-","-","-","-","-","-","17.1","-","-","-","-","-","-","-","17.1","17.1"
"374","Jake Butt","TE","FA","4.9","8.8","2.8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.5","16.5"
"375","Cameron Batson","WR","FA","-","-","-","-","-","0","1","-","4.1","5.6","1.6","2.3","1.7","0","0","0","0","1.5","16.3"
"376","Darrel Williams","RB","FA","-","-","-","-","-","-","-","-","-","0","-","-","0","1.8","11.2","0","3.1","2.7","16.1"
"377","Darren Waller","TE","MIA","-","-","-","-","-","-","-","-","-","-","BYE","-","-","0","7.5","2.8","5.3","3.9","15.6"
"377","Brian Hill","RB","FA","-","0","0","0","-","-","-","-","-","0","0","0","-","0.5","0.7","9.5","4.9","1.6","15.6"
"379","Elijhaa Penny","RB","FA","-","-","0","0","0","0","0.2","0","-","3.2","2.4","1.7","0","4.7","0.2","1.5","1.6","1.1","15.5"
"380","Dwayne Washington","RB","FA","-","-","-","0.2","0","-","0","0","0","4.7","-0.3","0","0","0","0","0","10.8","1.2","15.4"
