,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,,-additional
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,ARI,Kyler Murray,QB,22,2025,0,2,5,69,69,87,1974,2941,20460,121,60,532,3193,32,0,7,0,,,,Oklahoma,College Stats,MurrKy00
1,2,SFO,Nick Bosa,DE,21,2025,1,5,5,57,57,85,0,0,0,0,0,0,0,0,0,0,0,192,2,64.5,Ohio St.,College Stats,BosaNi00
1,3,NYJ,Quinnen Williams,DT,21,2025,1,3,6,51,51,95,0,0,0,0,0,0,0,0,0,0,0,195,1,40.0,Alabama,College Stats,WillQu00
1,4,OAK,Clelin Ferrell,DE,22,2025,0,0,4,23,12,90,0,0,0,0,0,0,0,0,0,0,0,84,,17.0,Clemson,College Stats,FerrCl00
1,5,TAM,Devin White,LB,21,2025,0,1,5,46,45,88,0,0,0,0,0,0,0,0,0,0,0,407,3,23.0,LSU,College Stats,WhitDe02
1,6,NYG,Daniel Jones,QB,22,2025,0,0,5,42,42,75,1544,2391,15872,76,49,418,2235,18,1,16,0,,,,Duke,College Stats,JoneDa05
1,7,JAX,Josh Hines-Allen,LB,22,2025,0,2,5,38,38,95,0,0,0,0,0,0,0,0,0,0,0,196,2,53.5,Kentucky,College Stats,AlleJo03
1,8,DET,T.J. Hockenson,TE,22,2025,0,2,3,30,16,87,0,0,0,0,0,1,0,0,401,4155,24,2,,,Iowa,College Stats,HockTJ00
1,9,BUF,Ed Oliver,DT,21,2025,0,0,5,42,42,93,0,0,0,0,0,0,0,0,0,0,0,150,1,28.0,Houston,College Stats,OlivEd00
1,10,PIT,Devin Bush Jr.,LB,21,2025,0,0,3,28,23,86,0,0,0,0,0,0,0,0,0,0,0,257,2,6.0,Michigan,College Stats,BushDe01
1,11,CIN,Jonah Williams,G,21,2025,0,0,4,33,31,70,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats,WillJo10
1,12,GNB,Rashan Gary,LB,21,2025,0,1,4,31,31,94,0,0,0,0,0,0,0,0,0,0,0,139,,43.5,Michigan,College Stats,GaryRa00
1,13,MIA,Christian Wilkins,DT,23,2024,0,0,5,35,34,86,0,0,0,0,0,0,0,0,2,2,2,215,1,22.5,Clemson,College Stats,WilkCh00
1,14,ATL,Chris Lindstrom,G,22,2025,0,3,5,43,43,92,0,0,0,0,0,0,0,0,0,0,0,2,,,Boston Col.,College Stats,LindCh00
1,15,WAS,Dwayne Haskins,QB,22,2020,0,0,0,4,4,16,267,444,2804,12,14,40,147,1,0,0,0,,,,Ohio St.,College Stats,HaskDw00
1,16,CAR,Brian Burns,DE,21,2025,0,2,5,42,36,102,0,0,0,0,0,0,0,0,0,0,0,209,,59.5,Florida St.,College Stats,BurnBr00
1,17,NYG,Dexter Lawrence,DT,21,2025,0,3,5,50,50,97,0,0,0,0,0,0,0,0,0,0,0,177,1,30.0,Clemson,College Stats,LawrDe03
1,18,MIN,Garrett Bradbury,C,24,2025,0,0,6,34,34,93,0,0,0,0,0,0,0,0,2,17,0,1,,,North Carolina St.,College Stats,BradGa00
1,19,TEN,Jeffery Simmons,DT,22,2025,0,3,6,51,51,89,0,0,0,0,0,0,0,0,1,2,1,196,,35.0,Mississippi St.,College Stats,SimmJe01
1,20,DEN,Noah Fant,TE,21,2025,0,0,5,24,14,99,0,0,0,0,0,3,-12,0,312,3385,16,2,,,Iowa,College Stats,FantNo00
1,21,GNB,Darnell Savage Jr.,S,22,2025,0,0,6,24,21,89,0,0,0,0,0,0,0,0,0,0,0,267,10,1.0,Maryland,College Stats,SavaDa00
1,22,PHI,Andre Dillard,T,23,2024,0,0,1,12,6,69,0,0,0,0,0,0,0,0,0,0,0,,,,Washington St.,College Stats,DillAn00
1,23,HOU,Tytus Howard,T,23,2025,0,0,5,31,31,82,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama St.,,HowaTy00
1,24,OAK,Josh Jacobs,RB,21,2025,1,3,6,51,39,94,0,0,0,0,0,1686,7140,65,243,1909,1,3,,,Alabama,College Stats,JacoJo01
1,25,BAL,Marquise Brown,WR,22,2025,0,0,4,34,24,79,0,0,0,0,0,5,30,0,348,3992,29,3,,,Oklahoma,College Stats,BrowMa04
1,26,WAS,Montez Sweat,DE,23,2025,0,1,5,42,28,96,0,0,0,0,0,0,0,0,0,0,0,164,1,48.0,Mississippi St.,College Stats,SweaMo00
1,27,OAK,Johnathan Abram,S,22,2024,0,0,2,13,10,55,0,0,0,0,0,0,0,0,0,0,0,191,5,,Mississippi St.,College Stats,AbraJo01
1,28,LAC,Jerry Tillery,DT,22,2025,0,0,2,24,14,101,0,0,0,0,0,0,0,0,0,0,0,93,,13.5,Notre Dame,College Stats,TillJe00
1,29,SEA,L.J. Collier,DE,23,2025,0,0,2,16,10,65,0,0,0,0,0,0,0,0,0,0,0,40,,6.5,TCU,College Stats,CollLJ00
1,30,NYG,Deandre Baker,CB,22,2021,0,0,1,6,5,26,0,0,0,0,0,0,0,0,0,0,0,65,,1.0,Georgia,College Stats,BakeDe00
1,31,ATL,Kaleb McGary,T,24,2024,0,0,6,39,39,93,0,0,0,0,0,0,0,0,1,-3,0,,,,Washington,College Stats,McGaKa00
1,32,NWE,N'Keal Harry,WR,21,2023,0,0,1,7,6,49,0,0,0,0,0,7,49,0,64,714,5,,,,Arizona St.,College Stats,HarrNK00
2,33,ARI,Byron Murphy,CB,21,2025,0,1,5,33,17,92,0,0,0,0,0,0,0,0,0,0,0,307,14,3.0,Washington,College Stats,MurpBy00
2,34,IND,Rock Ya-Sin,CB,23,2025,0,0,1,15,11,84,0,0,0,0,0,0,0,0,0,0,0,170,2,,Temple,College Stats,Ya-SRo00
