,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,,-additional
2,35,JAX,Jawaan Taylor,T,21,2025,0,0,6,38,25,104,0,0,0,0,0,0,0,0,0,0,0,1,,,Florida,College Stats,TaylJa02
2,36,SFO,Deebo Samuel,WR,23,2025,1,1,5,47,47,86,1,3,24,1,0,209,1189,21,364,5092,25,2,,,South Carolina,College Stats,SamuDe00
2,37,CAR,Greg Little,T,21,2022,0,0,0,8,3,31,0,0,0,0,0,0,0,0,0,0,0,1,,,Mississippi,College Stats,LittGr01
2,38,BUF,Cody Ford,T,22,2025,0,0,1,21,13,87,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma,College Stats,FordCo00
2,39,TAM,Sean Murphy-Bunting,CB,22,2024,0,0,3,24,14,82,0,0,0,0,0,0,0,0,0,0,0,211,11,1.0,Central Michigan,College Stats,BuntSe00
2,40,OAK,Trayvon Mullen,CB,21,2022,0,0,2,11,11,46,0,0,0,0,0,0,0,0,0,0,0,128,4,,Clemson,College Stats,MullTr00
2,41,DEN,Dalton Risner,T,24,2025,0,0,5,27,20,91,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.,College Stats,RisnDa00
2,42,DEN,Drew Lock,QB,22,2025,0,0,1,14,12,37,578,970,6369,34,28,96,431,7,1,1,0,1,,,Missouri,College Stats,LockDr00
2,43,DET,Jahlani Tavai,LB,22,2025,0,0,4,31,7,96,0,0,0,0,0,0,0,0,0,0,0,236,4,5.5,Hawaii,College Stats,TavaJa00
2,44,GNB,Elgton Jenkins,C,23,2025,0,2,5,45,45,91,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,College Stats,JenkEl00
2,45,NWE,Joejuan Williams,CB,21,2023,0,0,0,3,3,42,0,0,0,0,0,0,0,0,0,0,0,32,,,Vanderbilt,College Stats,WillJo13
2,46,CLE,Greedy Williams,CB,21,2022,0,0,1,8,8,39,0,0,0,0,0,0,0,0,0,0,0,78,2,,LSU,College Stats,WillGr00
2,47,SEA,Marquise Blair,S,22,2024,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,36,,,Utah,College Stats,BlaiMa01
2,48,NOR,Erik McCoy,C,22,2025,0,2,5,33,33,86,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas A&M,College Stats,McCoEr01
2,49,IND,Ben Banogu,LB,23,2022,0,0,0,4,4,50,0,0,0,0,0,0,0,0,0,0,0,13,,2.5,TCU,College Stats,BanoBe00
2,50,MIN,Irv Smith Jr.,TE,21,2024,0,0,0,9,8,54,0,0,0,0,0,0,0,0,109,973,10,3,,,Alabama,College Stats,SmitIr01
2,51,TEN,A.J. Brown,WR,22,2025,0,3,6,66,26,95,0,2,0,0,0,5,70,1,465,7220,50,4,,,Mississippi,College Stats,BrowAJ00
2,52,CIN,Drew Sample,TE,23,2025,0,0,3,6,6,83,0,0,0,0,0,1,-4,0,104,756,5,1,,,Washington,College Stats,SampDr00
2,53,PHI,Miles Sanders,RB,22,2025,0,1,4,34,29,88,0,0,0,0,0,943,4462,24,183,1274,4,,,,Penn St.,College Stats,SandMi01
2,54,HOU,Lonnie Johnson Jr.,CB,23,2024,0,0,0,10,8,83,0,0,0,0,0,0,0,0,0,0,0,150,4,,Kentucky,College Stats,JohnLo01
2,55,HOU,Max Scharping,T,23,2024,0,0,3,18,16,81,0,0,0,0,0,0,0,0,0,7,0,,,,Northern Illinois,College Stats,SchaMa01
2,56,KAN,Mecole Hardman,WR,21,2024,0,1,0,23,23,80,0,0,0,0,0,26,190,3,178,2302,16,1,,,Georgia,College Stats,HardMe00
2,57,PHI,JJ Arcega-Whiteside,WR,22,2021,0,0,0,2,2,40,0,0,0,0,0,0,0,0,16,290,1,4,,,Stanford,College Stats,ArceJJ00
2,58,DAL,Trysten Hill,DT,21,2024,0,0,0,5,5,34,0,0,0,0,0,0,0,0,0,0,0,27,,1.5,Central Florida,College Stats,HillTr00
2,59,IND,Parris Campbell,WR,22,2024,0,0,1,9,9,49,0,0,0,0,0,11,108,0,123,1117,6,1,,,Ohio St.,College Stats,CampPa00
2,60,LAC,Nasir Adderley,S,22,2022,0,0,3,13,13,50,0,0,0,0,0,0,0,0,0,0,0,168,3,0.5,Delaware,,AddeNa00
2,61,LAR,Taylor Rapp,S,21,2025,0,0,4,24,18,92,0,0,0,0,0,0,0,0,0,0,0,309,12,2.0,Washington,College Stats,RappTa00
2,62,ARI,Andy Isabella,WR,22,2023,0,0,0,4,4,43,0,0,0,0,0,6,10,0,33,447,3,3,,,Massachusetts,College Stats,IsabAn00
2,63,KAN,Juan Thornhill,S,23,2025,0,0,5,23,17,91,0,0,0,0,0,0,0,0,0,0,0,247,8,1.0,Virginia,College Stats,ThorJu00
2,64,SEA,D.K. Metcalf,WR,21,2025,0,2,6,51,51,101,0,0,0,0,0,3,17,0,453,6585,51,2,,,Mississippi,College Stats,MetcDK00
3,65,ARI,Zach Allen,DE,22,2025,0,0,5,35,15,83,0,0,0,0,0,0,0,0,0,0,0,140,1,26.5,Boston Col.,College Stats,AlleZa01
3,66,PIT,Diontae Johnson,WR,23,2024,0,1,5,35,33,89,0,0,0,0,0,21,140,0,424,4738,28,2,,,Toledo,College Stats,JohnDi01
3,67,SFO,Jalen Hurd,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Baylor,College Stats,HurdJa00
3,68,NYJ,Jachai Polite,LB,22,2020,0,0,0,1,,11,0,0,0,0,0,0,0,0,0,0,0,3,,1.0,Florida,College Stats,PoliJa00
3,69,JAX,Josh Oliver,TE,22,2025,0,0,3,6,0,72,0,0,0,0,0,0,0,0,74,753,9,3,,,San Jose St.,College Stats,OlivJo00
3,70,LAR,Darrell Henderson,RB,22,2023,0,0,1,15,15,54,0,0,0,0,0,442,1854,15,76,577,4,1,,,Memphis,College Stats,HendDa00
3,71,DEN,Dre'Mont Jones,DT,22,2025,0,0,4,27,17,95,0,0,0,0,0,0,0,0,0,0,0,123,1,30.5,Ohio St.,College Stats,JoneDr00
3,72,CIN,Germaine Pratt,LB,23,2025,0,0,6,39,39,100,0,0,0,0,0,0,0,0,0,0,0,365,7,3.5,North Carolina St.,College Stats,PratGe00
3,73,CHI,David Montgomery,RB,22,2025,0,0,5,44,26,93,2,3,6,2,1,1380,5709,55,214,1739,4,,,,Iowa St.,College Stats,MontDa01
3,74,BUF,Devin Singletary,RB,22,2025,0,0,5,36,28,98,1,1,6,1,0,1022,4558,24,198,1283,4,3,,,Florida Atlantic,College Stats,SingDe00
3,75,GNB,Jace Sternberger,TE,23,2020,0,0,0,1,1,18,0,0,0,0,0,0,0,0,12,114,1,,,,Texas A&M,College Stats,SterJa00
3,76,WAS,Terry McLaurin,WR,23,2025,0,2,6,47,47,100,0,0,0,0,0,12,73,0,470,6528,38,5,,,Ohio St.,College Stats,McLaTe00
3,77,NWE,Chase Winovich,DE,24,2023,0,0,0,11,10,56,0,0,0,0,0,0,0,0,0,0,0,71,1,12.0,Michigan,College Stats,WinoCh00
3,78,MIA,Michael Deiter,G,23,2025,0,0,2,16,10,92,0,0,0,0,0,0,0,0,1,0,0,,,,Wisconsin,College Stats,DeitMi00
3,79,LAR,David Long,CB,21,2024,0,0,0,7,6,79,0,0,0,0,0,0,0,0,0,0,0,82,1,,Michigan,College Stats,LongDa02
3,80,CLE,Sione Takitaki,LB,24,2024,0,0,1,19,18,83,0,0,0,0,0,0,0,0,0,0,0,164,2,4.0,BYU,College Stats,TakiSi00
3,81,DET,Will Harris,S,23,2025,0,0,3,15,12,97,0,0,0,0,0,0,0,0,0,0,0,235,3,1.5,Boston Col.,College Stats,HarrWi02
3,82,TEN,Nate Davis,G,22,2024,0,0,5,27,22,71,0,0,0,0,0,0,0,0,0,0,0,1,,,Charlotte,College Stats,DaviNa01
3,83,PIT,Justin Layne,CB,21,2022,0,0,0,3,3,52,0,0,0,0,0,0,0,0,0,0,0,32,,,Michigan St.,College Stats,LaynJu00
3,84,KAN,Khalen Saunders,DT,23,2025,0,0,1,17,4,69,0,0,0,0,0,0,0,0,0,0,0,82,1,6.5,Western Illinois,,SaunKh00
3,85,BAL,Jaylon Ferguson,DE,23,2021,0,0,1,8,8,38,0,0,0,0,0,0,0,0,0,0,0,44,,4.5,Louisiana Tech,College Stats,FergJa02
3,86,HOU,Kahale Warring,TE,22,2021,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,35,0,,,,San Diego St.,College Stats,WarrKa00
3,87,NWE,Damien Harris,RB,22,2023,0,0,3,16,15,44,0,0,0,0,0,472,2188,21,42,297,0,,,,Alabama,College Stats,HarrDa06
3,88,SEA,Cody Barton,LB,22,2025,0,0,3,22,10,100,0,0,0,0,0,0,0,0,0,0,0,282,6,3.5,Utah,College Stats,BartCo00
3,89,IND,Bobby Okereke,LB,23,2025,0,0,6,34,21,98,0,0,0,0,0,0,0,0,0,0,0,455,5,6.5,Stanford,College Stats,OkerBo00
3,90,DAL,Connor McGovern,G,21,2025,0,1,3,31,12,83,0,0,0,0,0,0,0,0,0,0,0,1,,,Penn St.,College Stats,McGoCo01
3,91,LAC,Trey Pipkins,T,23,2025,0,0,3,29,29,89,0,0,0,0,0,0,0,0,0,0,0,,,,Sioux Falls,,PipkTr00
3,92,NYJ,Chuma Edoga,T,22,2025,0,0,0,10,5,53,0,0,0,0,0,0,0,0,0,0,0,,,,USC,College Stats,EdogCh00
3,93,BAL,Miles Boykin,WR,22,2023,0,0,2,6,6,73,0,0,0,0,0,0,0,0,38,498,7,15,,,Notre Dame,College Stats,BoykMi00
3,94,TAM,Jamel Dean,CB,22,2025,0,0,4,22,22,86,0,0,0,0,0,0,0,0,0,0,0,258,9,,Auburn,College Stats,DeanJa00
3,95,NYG,Oshane Ximines,DE,22,2024,0,0,0,8,8,50,0,0,0,0,0,0,0,0,0,0,0,35,,6.5,Old Dominion,College Stats,XimiOs00
3,96,BUF,Dawson Knox,TE,22,2025,0,1,6,21,21,90,0,0,0,0,0,1,13,0,199,2331,23,3,,,Mississippi,College Stats,KnoxDa00
3,97,LAR,Bobby Evans,T,22,2022,0,0,0,7,7,35,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats,EvanBo00
3,98,JAX,Quincy Williams,S,23,2025,1,0,5,38,2,86,0,0,0,0,0,0,0,0,0,0,0,359,1,10.5,Murray St.,,WillQu01
3,99,TAM,Mike Edwards,S,23,2024,0,0,1,16,14,83,0,0,0,0,0,0,0,0,0,0,0,164,8,3.0,Kentucky,College Stats,EdwaMi01
3,100,CAR,Will Grier,QB,24,2019,0,0,0,1,1,2,28,52,228,0,4,7,22,0,0,0,0,,,,West Virginia,College Stats,GrieWi00
3,101,NWE,Yodny Cajuste,T,23,2022,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,1,,,West Virginia,College Stats,CajuYo00
3,102,MIN,Alexander Mattison,RB,21,2024,0,0,1,21,18,89,0,0,0,0,0,716,2790,15,136,1012,7,,,,Boise St.,College Stats,MattAl01
4,103,ARI,Hakeem Butler,WR,23,2020,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa St.,College Stats,ButlHa00
4,104,CIN,Ryan Finley,QB,24,2020,0,0,0,2,2,8,58,119,638,3,4,21,143,1,0,0,0,,,,North Carolina St.,College Stats,FinlRy00
4,105,NOR,C.J. Gardner-Johnson,S,21,2025,0,0,4,24,11,77,0,0,0,0,0,0,0,0,0,0,0,245,18,4.0,Florida,College Stats,GardCh00
4,106,OAK,Maxx Crosby,DE,22,2025,0,4,6,54,54,100,0,0,0,0,0,0,0,0,0,0,0,247,1,61.5,Eastern Michigan,College Stats,CrosMa00
4,107,TAM,Anthony Nelson,DE,22,2025,0,0,0,15,15,97,0,0,0,0,0,0,0,0,0,0,0,103,,18.5,Iowa,College Stats,NelsAn01
4,108,NYG,Julian Love,CB,21,2025,0,1,3,25,12,101,0,0,0,0,0,1,2,0,0,0,0,371,12,2.5,Notre Dame,College Stats,LoveJu00
4,109,IND,Khari Willis,S,23,2021,0,0,1,12,12,39,0,0,0,0,0,0,0,0,0,0,0,161,4,3.5,Michigan St.,College Stats,WillKh00
4,110,SFO,Mitch Wishnowsky,P,27,2025,0,0,2,9,9,93,0,0,0,0,0,0,0,0,0,0,0,10,,,Utah,College Stats,WishMi00
4,111,ATL,Kendall Sheffield,CB,23,2024,0,0,0,6,6,49,0,0,0,0,0,0,0,0,0,0,0,81,,,Ohio St.,College Stats,ShefKe00
4,112,WAS,Bryce Love,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Stanford,College Stats,LoveBr00
4,113,BAL,Justice Hill,RB,21,2025,0,0,0,15,15,79,0,0,0,0,0,259,1234,7,108,853,5,12,,,Oklahoma St.,College Stats,HillJu00
4,114,MIN,Dru Samia,G,22,2020,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats,SamiDr00
4,115,CAR,Christian Miller,LB,23,2019,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,2,,2.0,Alabama,College Stats,MillCh04
4,116,TEN,Amani Hooker,S,21,2025,0,0,4,20,20,85,0,0,0,0,0,2,6,0,1,6,0,262,12,1.0,Iowa,College Stats,HookAm00
4,117,DET,Austin Bryant,DE,22,2023,0,0,0,5,5,35,0,0,0,0,0,0,0,0,0,0,0,42,,4.5,Clemson,College Stats,BryaAu00
4,118,NWE,Hjalte Froholdt,G,23,2025,0,0,2,18,0,70,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,College Stats,FrohHj00
4,119,CLE,Sheldrick Redwine,S,22,2023,0,0,0,4,4,34,0,0,0,0,0,0,0,0,0,0,0,52,1,0.5,Miami (FL),College Stats,RedwSh00
4,120,SEA,Gary Jennings Jr,WR,22,2019,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,West Virginia,College Stats,JennGa00
4,121,NYJ,Trevon Wesco,TE,23,2023,0,0,1,0,0,69,0,0,0,0,0,2,2,0,9,134,0,6,,,West Virginia,College Stats,WescTr00
4,122,PIT,Benny Snell Jr.,RB,21,2022,0,0,0,8,8,63,0,0,0,0,0,275,982,7,17,114,0,14,,,Kentucky,College Stats,SnelBe00
4,123,BAL,Ben Powers,G,22,2025,0,0,5,26,14,86,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats,PoweBe00
4,124,SEA,Phil Haynes,G,23,2023,0,0,0,6,6,31,0,0,0,0,0,0,0,0,0,0,0,,,,Wake Forest,College Stats,HaynPh00
4,125,CIN,Renell Wren,DT,23,2022,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,4,,,Arizona St.,College Stats,WrenRe00
4,126,CHI,Riley Ridley,WR,23,2020,0,0,0,1,1,10,0,0,0,0,0,0,0,0,10,108,0,,,,Georgia,College Stats,RidlRi00
4,127,BAL,Iman Marshall,CB,22,2019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,USC,College Stats,MarsIm00
4,128,DAL,Tony Pollard,RB,22,2025,0,1,2,40,34,100,0,0,0,0,0,1104,5028,30,226,1623,5,6,,,Memphis,College Stats,PollTo00
4,129,OAK,Isaiah Johnson,CB,23,2020,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,8,,,Houston,College Stats,JohnIs02
4,130,LAC,Drue Tranquill,LB,24,2025,0,0,2,25,13,84,0,0,0,0,0,0,0,0,0,0,0,323,1,15.0,Notre Dame,College Stats,TranDr00
4,131,WAS,Wes Martin,G,23,2022,0,0,0,5,4,38,0,0,0,0,0,0,0,0,0,0,0,1,,,Indiana,College Stats,MartWe00
4,132,SEA,Ugo Amadi,S,22,2025,0,0,1,8,6,85,0,0,0,0,0,0,0,0,0,0,0,168,1,2.0,Oregon,College Stats,AmadUg00
4,133,NWE,Jarrett Stidham,QB,23,2024,0,0,0,6,1,19,117,197,1422,8,8,36,102,0,0,0,0,2,,,Auburn,College Stats,StidJa00
4,134,LAR,Greg Gaines,DT,23,2025,0,0,2,17,13,96,0,0,0,0,0,0,0,0,0,0,0,75,,13.5,Washington,College Stats,GainGr00
4,135,ATL,John Cominsky,DE,23,2023,0,0,1,10,3,57,0,0,0,0,0,0,0,0,0,0,0,51,,7.5,Charleston (WV),,ComiJo00
4,136,CIN,Michael Jordan,G,21,2025,0,0,3,15,8,69,0,0,0,0,0,0,0,0,0,0,0,2,,,Ohio St.,College Stats,JordMi01
4,137,OAK,Foster Moreau,TE,22,2025,0,0,5,13,8,94,0,0,0,0,0,0,2,0,144,1713,18,6,,,LSU,College Stats,MoreFo00
4,138,PHI,Shareef Miller,DE,22,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats,MillSh00
5,139,ARI,Deionte Thompson,S,22,2022,0,0,0,4,4,44,0,0,0,0,0,0,0,0,0,0,0,37,,,Alabama,College Stats,ThomDe06
5,140,JAX,Ryquell Armstead,RB,22,2021,0,0,0,2,2,18,0,0,0,0,0,50,188,0,17,160,2,1,,,Temple,College Stats,ArmsRy00
5,141,PIT,Zach Gentry,TE,22,2023,0,0,2,2,2,41,0,0,0,0,0,0,0,0,39,303,0,1,,,Michigan,College Stats,GentZa00
5,142,SEA,Ben Burr-Kirven,LB,21,2020,0,0,0,2,2,32,0,0,0,0,0,0,0,0,0,0,0,10,,,Washington,College Stats,BurrBe00
5,143,NYG,Ryan Connelly,LB,23,2023,0,0,0,4,2,32,0,0,0,0,0,0,0,0,0,0,0,19,2,1.0,Wisconsin,College Stats,ConnRy00
5,144,IND,Marvell Tell III,S,23,2019,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,23,,,USC,College Stats,TellMa00
5,145,TAM,Matt Gay,K,25,2025,0,1,2,18,3,95,0,0,0,0,0,0,0,0,0,0,0,3,,,Utah,College Stats,GayxMa00
5,146,DET,Amani Oruwariye,CB,23,2024,0,0,2,12,11,61,0,0,0,0,0,0,0,0,0,0,0,166,10,,Penn St.,College Stats,OruwAm00
5,147,BUF,Vosean Joseph,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats,JoseVo00
5,148,SFO,Dre Greenlaw,LB,22,2024,0,0,4,28,28,64,0,0,0,0,0,0,0,0,0,0,0,295,3,3.5,Arkansas,College Stats,GreeDr00
5,149,OAK,Hunter Renfrow,WR,23,2025,0,1,0,21,21,78,0,0,0,0,0,3,3,0,283,2966,19,6,,,Clemson,College Stats,RenfHu00
5,150,GNB,Kingsley Keke,DT,22,2021,0,0,1,9,9,41,0,0,0,0,0,0,0,0,0,0,0,25,,6.5,Texas A&M,College Stats,KekeKi00
5,151,MIA,Andrew Van Ginkel,LB,24,2025,0,1,4,39,23,92,0,0,0,0,0,0,0,0,0,0,0,211,4,30.5,Wisconsin,College Stats,VanGAn00
5,152,ATL,Qadree Ollison,RB,22,2023,0,0,0,1,1,24,0,0,0,0,0,44,158,5,5,19,0,6,,,Pittsburgh,College Stats,OlliQa00
5,153,WAS,Ross Pierschbacher,G,24,2022,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats,PierRo00
5,154,CAR,Jordan Scarlett,RB,23,2021,0,0,0,0,0,10,0,0,0,0,0,4,9,0,0,0,0,1,,,Florida,College Stats,ScarJo00
5,155,CLE,Mack Wilson,LB,21,2025,0,0,3,23,12,98,0,0,0,0,0,0,0,0,0,0,0,212,2,9.0,Alabama,College Stats,WilsMa03
5,156,DEN,Justin Hollins,LB,23,2023,0,0,0,8,1,67,0,0,0,0,0,0,0,0,0,0,0,74,,10.5,Oregon,College Stats,HollJu00
5,157,NYJ,Blake Cashman,LB,23,2025,0,0,2,19,4,59,0,0,0,0,0,0,0,0,0,0,0,179,1,10.0,Minnesota,College Stats,CashBl00
5,158,DAL,Michael Jackson,CB,22,2025,0,0,2,13,,60,0,0,0,0,0,0,0,0,0,0,0,167,4,,Miami (FL),College Stats,JackMi01
5,159,NWE,Byron Cowart,DT,23,2024,0,0,1,14,9,51,0,0,0,0,0,0,0,0,0,0,0,33,,3.5,Maryland,College Stats,CowaBy00
5,160,BAL,Daylon Mack,DT,22,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,MackDa00
5,161,HOU,Charles Omenihu,DE,22,2025,0,0,0,11,5,83,0,0,0,0,0,0,0,0,0,0,0,70,,20.5,Texas,College Stats,OmenCh00
5,162,MIN,Cameron Smith,LB,22,2019,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,,,USC,College Stats,SmitCa01
5,163,NWE,Jake Bailey,P,22,2025,1,1,2,9,7,97,0,0,0,0,0,1,0,0,0,0,0,5,,,Stanford,College Stats,BailJa00
5,164,IND,E.J. Speed,LB,24,2025,0,0,2,16,16,97,0,0,0,0,0,0,0,0,0,0,0,252,1,2.0,Tarleton St.,,SpeeEJ00
5,165,DAL,Joe Jackson,DE,22,2021,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,13,,1.5,Miami (FL),College Stats,JackJo02
5,166,LAC,Easton Stick,QB,23,2023,0,0,0,4,4,6,112,175,1133,3,1,28,142,1,0,0,0,,,,North Dakota St.,,SticEa00
5,167,PHI,Clayton Thorson,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Northwestern,College Stats,ThorCl00
5,168,TEN,D'Andre Walker,LB,22,2020,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,WalkDA02
5,169,LAR,David Edwards,T,22,2025,0,0,3,30,21,91,0,0,0,0,0,0,0,0,0,0,0,1,,,Wisconsin,College Stats,EdwaDa01
